epoch,train_loss,val_loss,train_ppl,val_ppl,val_bleu
1,7.376072083200341,5.773235865033733,1597.3033549795189,321.57662944682716,0.2242472781961735
2,5.380796260209845,4.9889499573418865,217.1951504451343,146.78221495993313,1.2717112794627292
3,4.777555371470182,4.528435224558457,118.81353975905812,92.61352826522564,2.8660939789703477
4,4.276203242212047,4.12971065199551,71.96668058209912,62.15993447942364,5.878357255527907
5,3.8250440748319634,3.857287804587781,45.834820483825865,47.33679048056513,13.778868438115701
6,3.4352377679117576,3.65958455836938,31.03879171692061,38.84520160479111,15.157977011240742
7,3.112597189536799,3.491388979362939,22.47935178756003,32.83151835200702,22.286627425401015
8,2.8459804149533032,3.443655623948588,17.218431604152038,31.301174598436727,24.853256400892093
9,2.6334508295464314,3.3955165429701792,13.921728618314054,29.830058002806656,26.16810441472513
10,2.4642997682155436,3.4372866244993228,11.755247871170694,31.10245094184193,26.398171412532502
11,2.3333441455681965,3.4920117295762623,10.312370000489427,32.851970554710284,26.88658372626791
12,2.187276662448295,3.461164993941595,8.910912617538079,31.85406469910753,29.73351341583147
13,2.0445213925319368,3.4198388514966274,7.7254601900108515,30.564489202475396,30.185141012735773
14,1.9394071585658286,3.441694490401839,6.954626757354848,31.239848968409344,29.468462819829544
15,1.852729141944824,3.413650788573811,6.3772000790374275,30.37593820447442,31.698626116153388
16,1.7880127683913192,3.383421372327236,5.977561855734979,29.471431557041907,33.01083451272039
17,1.7323037827501022,3.388438171515671,5.653663729748782,29.619655304469326,31.963734193543726
18,1.6904641215275753,3.376806061066527,5.421996586586947,29.277112313787367,33.47678971802611
19,1.652697654030295,3.3963955056344735,5.221045420818984,29.856289036425665,32.41081477131406
20,1.6216174035912085,3.392590325108933,5.061269815981317,29.742896343474296,33.88889765730474
